emp_no,first_name,last_name,dept_no
10322,Isamu,Dahlbom,d005
10324,Bernardo,Rouquie,d005
10327,Roded,Facello,d005
10328,Serenella,Kawashima,d005
10333,Snehasis,Dymetman,d005
10342,Stella,Hiroyama,d005
10345,Arra,Ratnakar,d005
10352,Erzsebet,Ohori,d005
10355,Satyanarayana,Cochrane,d007
10358,Qunsheng,Tagansky,d005
10359,Heekeun,Sambasivam,d005
10366,Morrie,Piazza,d005
10373,Hongzue,Heijenga,d005
10379,Mikhail,Rosis,d005
10386,Eishiro,Miyakawa,d005
10389,Make,Peir,d005
10391,Hongzue,Akaboshi,d005
10394,Shawna,Meriste,d005
10395,Takahiro,Deverell,d005
10396,Sibyl,Rahier,d005
10404,Prodip,Rosti,d005
10409,Mario,Straney,d005
10414,Yinlin,Alpin,d005
10415,Mark,Coorg,d005
10424,Babette,Straney,d005
10426,Arunas,Luce,d005
10429,Martien,Improta,d005
10435,Marsha,Tagansky,d005
10439,Jolita,Jarecki,d005
10440,Akeel,Narahara,d005
10443,Shichao,Litvinov,d005
10445,Junichi,Kavanagh,d005
10446,Ebru,Chepyzhov,d005
10450,Khun,Harbusch,d005
10452,Werner,Hasham,d005
10460,Shushma,VanScheik,d005
10463,Ung,Zaiane,d007
10469,Munehiko,Ananiadou,d005
10477,Guoxiang,Trogemann,d005
10478,Maik,Ushiama,d005
10482,Goa,Pleszkun,d005
10485,Teruyuki,Sundgren,d005
10488,Mihalis,Heering,d005
10489,Elvia,Homond,d005
10492,Lobel,Kumaresan,d005
10500,Vojin,Narwekar,d005
10501,Susuma,Larfeldt,d005
10504,Xiong,Varker,d007
10506,Kazuhisa,Kroll,d005
10516,Xiadong,Luga,d005
10518,Marin,Lanphier,d005
10519,Yonghoan,Alencar,d005
10527,Tetsushi,Barvinok,d005
10528,Koichi,Lakshmanan,d005
10529,Ymte,Yetto,d005
10530,Boriana,Coors,d005
10538,Przemyslawa,Falby,d005
10542,Yannis,Couchot,d005
10547,Snehasis,Brobst,d005
10549,Beshir,Kisuki,d005
10553,Rajmohan,Wallrath,d005
10554,Dines,Gerlach,d005
10557,Sashi,Karlin,d005
10560,Yinlin,Esteva,d005
10562,Shuky,Pearson,d005
10563,Mohit,Spelt,d005
10566,Jianhui,Zuberek,d005
10571,Fun,Varman,d005
10578,Shigeaki,Shanbhogue,d005
10579,Aiman,Stentiford,d005
10582,Shmuel,Juneja,d005
10584,Mana,Papastamatiou,d005
10585,Sajjad,Willoner,d005
10587,Behnaam,Srimani,d005
10593,Falguni,Kenevan,d005
10594,Kiyokazu,Whitcomb,d005
10599,Seshu,Crelier,d005
10604,Susanna,Brizzi,d005
10606,Toshiki,Marakhovsky,d005
10607,Rosalyn,Hambrick,d005
10609,Janche,Zhang,d005
10610,Irena,Roccetti,d005
10611,Karsten,Blokdijk,d005
10142,Tzvetan,Hettesheimer,d005
10620,Marit,Veeraraghavan,d005
10621,Hinrich,Siepmann,d005
10623,Aleksander,Danlos,d005
10625,Leszek,Petereit,d005
10628,Krisda,Krogh,d005
10631,Inderjeet,Chaudhuri,d005
10632,Yoshimitsu,Velardi,d005
10634,Nahid,Chepyzhov,d005
10639,Pramod,Erol,d005
10641,Guozhong,Zucker,d005
10642,Hirochika,Narlikar,d005
10643,Slavian,Keirsey,d005
10648,Marlo,Ratnaker,d005
10650,Hongzhu,Chepyzhov,d005
10653,Otmar,Feinberg,d005
10659,Dinah,Shackel,d005
10660,Jouko,Kolinko,d005
10663,Teunis,Noriega,d005
10665,Qingxiang,Snyers,d005
10143,Sakthirel,Bakhtari,d005
10145,Akemi,Esposito,d005
10150,Zhenbing,Perng,d005
10153,Heekeun,Majewski,d005
10673,Hyuckchul,Casperson,d005
10674,Abdelaziz,Bisiani,d005
10676,Valeri,Danley,d005
10677,Alejandra,Perng,d005
10678,Chriss,Gide,d005
10680,Kish,Honglei,d005
10686,Avishai,Azadmanesh,d005
10157,Nigel,Aloisi,d005
10690,Matt,Jumpertz,d005
10691,Denny,Setia,d005
10696,Unal,Fendler,d005
10698,Barton,Engberts,d005
10700,Angel,Mondadori,d005
10702,Bader,Szemeredi,d005
10166,Samphel,Siegrist,d005
10707,Moty,Trystram,d005
10709,Jiafu,Mateescu,d005
10711,Arvind,DuBourdieux,d005
10712,Uma,Koprowski,d005
10714,Aran,Sadowsky,d005
10716,Aiman,Constantine,d005
10718,Adib,Rullman,d005
10169,Sampalli,Snedden,d005
10719,Guenter,Karunanithi,d005
10726,Zita,Minakawa,d005
10172,Shigeu,Matzen,d005
10179,Deniz,Duclos,d005
10730,Mohit,Janetzko,d005
10738,Rosita,Oppitz,d005
10739,Gor,Iacovou,d005
10740,Suzette,Sadowski,d005
10181,Sibyl,Nooteboom,d005
10742,Shim,Wiegley,d005
10746,Kolar,Usery,d005
10182,Moriyoshi,Merey,d005
10189,Khalid,Erva,d005
10750,Roddy,Demeyer,d005
10751,Jordanka,Ushiama,d005
10755,Odysseas,Ressouche,d005
10756,Paddy,Brizzi,d005
10757,Florina,Simkin,d005
10191,Zdislav,Nastansky,d005
10193,Masaru,Cheshire,d005
10764,Yunming,Beetstra,d005
10197,Kasidit,Krzyzanowski,d005
10198,Pranav,Furedi,d005
10201,Idoia,Kavraki,d005
10767,Monique,Doering,d007
10202,Greger,Lichtner,d005
10769,Vishv,Bouloucos,d005
10772,Munehiro,Dayana,d005
10204,Nevio,Ritcey,d005
10776,Mahmut,Skafidas,d005
10206,Alassane,Iwayama,d005
10784,Weijing,Bottner,d005
10207,Girolamo,Anandan,d005
10211,Vishu,Strehl,d005
10212,Divier,Esteva,d005
10791,Tadahiko,Sgarro,d005
10792,Chinya,Birdsall,d005
10793,Oksana,Roisin,d005
10795,Supot,Naudin,d007
10797,Goetz,Hiyoshi,d005
10215,Xiaobin,Duclos,d007
10799,Gad,Griswold,d005
10219,Genta,Kolvik,d005
10223,Carrsten,Schmiedel,d005
10227,Anneli,Kaiser,d005
10238,Mototsugu,Gire,d005
10244,Foong,Flasterstein,d005
10808,Chenxi,Leijenhorst,d005
10809,Shim,Feldhoffer,d005
10249,Marie,Boreale,d005
10821,Irena,Schurmann,d005
10822,Masaru,Passino,d005
10258,Basil,Ishibashi,d005
10825,Fan,Fairtlough,d005
10826,Arnd,Anandan,d005
10831,Toong,Driscoll,d005
10261,Mang,Erie,d005
10842,Berni,Sanella,d005
10264,Nalini,Kawashimo,d005
10843,Honesty,Smeets,d005
10844,Dipayan,Koprowski,d005
10845,Hidde,Tasistro,d005
10937,Anyuan,Nanard,d005
10846,Tokuyasu,Serre,d005
10849,Makato,Mayerwieser,d005
10854,Jagoda,Nannarelli,d005
10858,Kenroku,Gonthier,d005
10940,Aleksander,Fioravanti,d005
10861,Howell,Baek,d005
10942,Toshimitsu,Larfeldt,d005
10943,Berna,Skafidas,d005
10948,Shigehito,Brodie,d005
10878,Lakshmi,Deville,d007
10879,Muzhong,Chleq,d005
10882,Fun,Heuser,d005
10952,Inderjeet,Bharadwaj,d005
10884,Teunis,Kleiser,d005
10886,Sushant,Begiun,d005
10887,Lunjin,DeMori,d005
10956,Arno,Picel,d005
10888,Kwangho,Dredge,d005
10891,Susanne,Jiang,d005
10958,Huican,Katalagarianos,d005
10961,Weiwu,Choobineh,d005
10900,Ferdinand,Prenel,d005
10902,Inderjeet,Perly,d005
10904,Debatosh,Colorni,d005
10963,Hatsukazu,Swist,d005
10965,Eckart,Braunschweig,d007
10909,Georgi,Atchley,d005
10967,Eran,Adachi,d005
10969,Premal,Noriega,d005
10916,Make,Spataro,d005
10917,Tesuya,Slaats,d005
10971,Isamu,Vadhan,d005
10972,Fumiko,Asser,d005
10924,Hironoby,Atchley,d007
10973,Valdiodio,Raczkowsky,d005
10974,Muneo,Papsdorf,d005
10932,Avishai,Picci,d005
10980,Filipp,Munawer,d005
10985,Chiradeep,Furedi,d005
10986,Masako,Schiper,d005
10987,Flemming,Baezner,d005
10988,Chinya,Deyuan,d005
11071,Kwan,Sigstam,d005
11073,Yuriy,Clemencon,d005
11076,Youssef,Schaad,d005
11078,Beshir,Chenoweth,d005
11079,Piyush,Garigliano,d005
11082,Deniz,Fontan,d005
11088,Sadun,Hennings,d005
11093,Licheng,Kitai,d005
11098,Arnd,Covnot,d005
11101,Manibrata,Horswill,d005
11103,Sanjai,Penttonen,d005
11104,Hein,Swan,d005
11106,Aris,Iwayama,d005
11121,Vugranam,Kakkad,d005
10990,Shin,Foote,d005
11125,Munir,Spieker,d005
11129,Goncalo,Pulkowski,d005
10991,Munehiro,Aingworth,d005
11136,Gladys,Luiz,d005
11137,Hugh,Luca,d005
11138,Adel,Matteis,d005
11140,Elgin,Gihr,d005
11141,Vasiliy,Kermarrec,d005
11142,Moheb,Raney,d005
11143,Yongdong,Rosen,d005
11146,Ishfaq,Masand,d007
11147,Ayonca,Nitsch,d005
11151,Gor,Reinhard,d005
11156,Tomoyuki,Armand,d005
11157,Mario,Cochrane,d005
11160,Anwar,Nivat,d005
10992,Zhensheng,Juneja,d005
11162,Kauko,Narlikar,d005
10994,Divine,Aingworth,d005
10999,Insup,Benveniste,d005
11000,Alain,Bonifati,d005
11001,Baziley,Buchter,d005
11003,Mariangiola,Gulla,d005
11005,Byong,Douceur,d005
11007,Olivera,Maccarone,d005
11169,Moss,Serra,d005
11009,Alper,Axelband,d007
11170,Minghong,Cannard,d005
11011,Moti,Hofstetter,d005
11175,Aksel,Rajaraman,d005
11013,Breannda,Vesel,d005
11177,Chrisa,dAstous,d005
11016,Sibyl,Rajaraman,d005
11180,Mitsuyuki,Bojadziev,d005
11181,Hausi,Cullers,d005
11182,Tze,Steinauer,d005
11017,Jovan,Sanella,d005
11183,Herbert,Serdy,d005
11018,Berthier,Luby,d005
11019,Leon,Huttel,d005
11187,Koldo,Makinen,d005
11020,Weiwu,Encarnacion,d005
11032,Erez,Schaaf,d005
11194,Giap,Tempesti,d005
11196,Gennadi,Breugel,d005
11197,Tadahiro,Fordan,d007
11033,Shushma,Bahk,d005
11042,Gou,Breugel,d005
11043,Iara,Range,d005
11199,Ortrud,Srimani,d005
11048,Jaques,Demke,d007
11200,Renny,Junet,d005
11059,Shawna,Jarecki,d005
11341,Heng,Ranka,d005
11207,Saeed,Gips,d005
11219,Youpyo,Heuter,d005
11343,Susanne,Erez,d005
11221,Alselm,Hammerschmidt,d005
11345,Youngkon,Maierhofer,d005
11347,Anneli,Jonsson,d005
11223,Weicheng,Crelier,d005
11350,Zito,Moehrke,d005
11230,Yakichi,Tzvieli,d005
11233,Sanjit,Waschkowski,d005
11364,Yucai,Oppitz,d005
11238,Kwan,Chenoweth,d005
11240,Kiam,Condotta,d005
11246,Maik,Reinhart,d005
11366,Yinlin,Rajaraman,d005
11368,Gino,Bail,d005
11249,Randi,Cyre,d005
11252,Rutger,Dulin,d005
11253,Koldo,Pokrovskii,d005
11255,Ortrud,Karunanithi,d005
11370,Marek,Erie,d005
11257,Weidon,Pews,d005
11371,Tadahiko,Masamoto,d005
11378,Masamitsu,Katiyar,d005
11264,Uma,Oehlmann,d005
11267,Shaunak,Zaumen,d005
11379,Guiseppe,Chenoweth,d005
11275,Hitomi,Eppinger,d005
11277,Munehiro,Ritcey,d005
11380,Kenroku,Pelc,d005
11382,Akemi,Otillio,d005
11396,Anneke,Servieres,d005
11289,Chuanti,Cherinka,d005
11290,Visit,Dredge,d005
11291,Gino,Glowinski,d005
11292,Souichi,Sichman,d005
11397,Fumiya,Kisuki,d005
11293,Naftali,Birge,d005
11294,Tru,Segond,d005
11404,Bedrich,Borovoy,d005
11298,Jiong,Alvarado,d005
11300,Lillian,Fontet,d005
11303,Jaewoo,Usery,d005
11304,Rajmohan,Azadmanesh,d005
11405,Clyde,Kobuchi,d005
11410,Gro,Vendrig,d005
11308,Tadahiro,Tibblin,d005
11419,Leaf,Terkki,d005
11316,Ult,Farrar,d005
11317,Shigeaki,Hagimont,d005
11319,Pranas,Marrakchi,d005
11323,Hyuckchul,Pfau,d005
11325,Samphel,Rossi,d005
11425,Renee,Crelier,d005
11326,Munenori,Plesums,d005
11433,Chiranjit,Cairo,d005
11332,Gunilla,Coney,d005
11333,Heon,Slobodova,d005
11335,Bernd,Plump,d005
11338,Kwangsub,Hanratty,d007
11438,Morris,Heping,d005
11440,Lubomir,Jahnichen,d005
11441,Marlo,Aingworth,d007
11445,Lijie,Denny,d005
11446,Naftali,Narahara,d005
11448,Yolla,Biron,d005
11455,Jianhui,Wolniewicz,d005
11456,Anyuan,Seuren,d005
11465,Tomoyuki,Porenta,d005
11470,Khalid,Michaels,d005
11612,Siamak,Baar,d005
11613,Lijia,Marchesini,d005
11615,Shem,Isaak,d007
11620,Kwangho,Gadepally,d005
11625,Kokou,Hemaspaandra,d005
11628,Fan,Malinowski,d005
11633,Kazuyasu,Teitelbaum,d005
11634,Turgut,Fraisse,d005
11473,Jiakeng,Eugenio,d005
11491,Maha,Matteis,d005
11500,Ranan,Weedon,d005
11502,Zhaofang,Cochrane,d005
11503,Nathan,Picht,d005
11506,Rance,Picel,d007
11509,Aleksander,Feldhoffer,d005
11512,Nidapan,Hagimont,d005
11515,Ulf,Basawa,d007
11516,Hironoby,Sethi,d005
11635,Nalini,Mahnke,d005
11523,Yuguang,Pezzoli,d005
11524,Xiadong,Standera,d005
11636,Fumitaka,Shiratori,d005
11637,Sangeeta,Melton,d005
11639,Khatoun,Herath,d005
11640,Valeri,Coorg,d005
11641,Chikako,Rothenberg,d005
11533,Vitaly,Lorch,d005
11534,Surveyors,Besancenot,d005
11642,Dmitri,Verhoeff,d005
11537,DAIDA,Pehl,d007
11646,Lobel,Rubsam,d005
11647,Magy,Nitsche,d005
11548,Nahid,Leuchs,d005
11649,Shen,Bernardinello,d005
11551,Subhrajyoti,Gonthier,d005
11653,Mohammed,Ananiadou,d005
11655,Gift,Broomell,d005
11658,Hongzue,Streng,d005
11565,Yoshinari,Sankaranarayanan,d005
11567,Teiji,Mitzlaff,d007
11568,Martins,Fujisaki,d005
11569,Kasidit,Geffroy,d005
11660,Gill,Stenning,d007
11573,Pranas,Hutton,d005
11679,Bedrich,Denna,d005
11575,Godehard,Plotkin,d005
11581,Patricio,Rosenbaum,d005
11584,Pradeep,Waymire,d005
11585,Chaitali,Vandervoorde,d005
11587,Shem,Zambonelli,d005
11589,Gina,Plessier,d005
11693,Hideo,Coorg,d005
11590,Adel,Eppinger,d005
11592,Hilary,Nishimukai,d005
11597,Yongdong,Talmon,d005
11598,Sariel,Ertl,d005
11604,Deborah,Baar,d005
11696,Dante,Rothe,d007
11697,JoAnne,Merey,d005
11702,Radhia,Kriebel,d005
11707,Tooru,Hettesheimer,d005
11711,Xianlong,Kuzuoka,d005
11716,Anneli,Leijenhorst,d005
11719,Claudi,Baez,d005
11743,Clyde,Huttel,d005
11721,Xuejun,Heydon,d005
11746,Koichi,Marrakchi,d007
11733,Leszek,Sudbeck,d005
11748,Lihong,Massonet,d005
11749,Masamitsu,Penttonen,d005
11756,Abdelwaheb,Vakili,d005
11757,Jackson,Meriste,d005
11758,Jinpo,Gerlach,d005
11763,Yuriy,Liesche,d005
11766,Nimmagadda,Berztiss,d005
11876,Leszek,Kobuchi,d005
11767,Ortrud,Kusakabe,d005
11769,Chandrasekaran,Lampe,d005
11770,Arumugam,Jakobus,d005
11772,Gaurav,Penz,d005
11775,Sajjad,Xiaoshan,d005
11780,Sugwoo,Sewelson,d005
11885,Sandeepan,Velasco,d005
11790,Huai,Henseler,d005
11887,Marke,Kragelund,d005
11791,Gal,Mamelak,d005
11792,Gina,Aumann,d005
11889,Guiseppe,Baez,d005
11794,Atreye,Ghandeharizadeh,d005
11795,Herbert,Erman,d005
11799,Duro,Silva,d005
11800,Aamer,Fraisse,d005
11802,Katsuo,Benzmuller,d005
11804,Bikash,Rusterholz,d005
11805,Rosine,Grandbois,d005
11806,Shan,Leivant,d005
11891,Hyuncheol,Bail,d005
11893,Vitali,Zobel,d005
11808,Morrie,Rosiles,d005
11809,Anneli,Bennis,d005
11810,Amabile,Bhattacharjee,d005
11894,Mitchel,Validov,d005
11817,Niranjan,Markovitch,d007
11818,Dmitry,Matteis,d005
11820,Danil,Badache,d005
11823,Weiyi,Iacovou,d005
11824,Zhensheng,Karcich,d005
11895,Flemming,Schreiter,d005
11897,Cordelia,Setlzner,d007
11906,Hideo,Boguraev,d005
11832,Arto,Zlotek,d005
11834,Mana,Wegerle,d005
11837,Shigeaki,Sury,d005
11910,Tamiya,Luders,d005
11911,Ashish,Mondadori,d005
11912,Kristian,Giaccio,d005
11913,Gil,Pokrovskii,d005
11920,Kasturi,Chinal,d005
11844,Shawna,Demeyer,d005
11928,Mang,Wroclawski,d005
11929,Kendra,Beeson,d005
11857,Divier,Farrag,d007
11933,Basil,Erman,d005
11861,Vincent,Claffy,d005
11863,Stella,Peng,d005
11934,Diederik,Deville,d005
11940,Ult,Anido,d005
11871,Nalini,Sommen,d005
11943,Ramalingam,Chachaty,d005
11950,Horward,Cichocki,d005
11951,Bernt,Haumacher,d005
11954,Hidde,Krupka,d005
11955,Domenico,Eastman,d005
11957,Frederique,Radivojevic,d005
11959,Duro,Pettis,d005
12009,Sariel,Stifter,d005
12011,Zhilian,Coorg,d007
12016,Charlene,Schaaf,d005
11968,Mitchel,Dayang,d005
12018,Fai,Morton,d005
12027,Zhanqiu,Vuskovic,d005
12028,Ingemar,Walstra,d005
12032,Oguz,Etalle,d005
12033,Visit,Serot,d005
11970,Toong,Marrakchi,d005
11975,Ger,Moehrke,d005
12036,Mads,Ratzlaff,d007
11978,Aran,Khalid,d005
12038,Aruna,Businaro,d005
12042,Torsten,Swan,d005
11981,LiMin,Horswill,d005
12045,Mototsugu,Boguraev,d005
11983,Jaana,Hedayat,d005
11984,Vasilii,Luit,d005
11988,Chinya,Chinin,d005
12052,Masako,Khasidashvili,d005
12056,Nirmal,Genther,d005
12058,Qunsheng,Khamsi,d005
12069,Ayonca,Burnard,d005
12070,Ger,Shokrollahi,d005
12071,Udi,Barinka,d005
12074,Mahmut,Bugaenko,d005
12075,JiYoung,Felcyn,d005
12076,Karlis,Siprelle,d007
12077,Steve,Hutton,d005
12082,Xinan,Yamaashi,d007
12084,Morris,Krohm,d005
12086,Kensyu,Ariola,d005
12087,Weijing,Jumpertz,d005
12093,Evgueni,Oxenboll,d005
12099,Nobuyoshi,Kuzuoka,d007
12101,Unal,Karcich,d005
12107,Manibrata,Antonisse,d005
12108,Akeel,Frezza,d005
12109,Tomokazu,Junet,d005
11990,Chanjung,Matheson,d005
12115,Moni,Candan,d005
12116,Atreye,Levergood,d005
11996,Ayakannu,Junot,d005
12117,Zvonko,Rosaz,d005
12125,Shounak,Erman,d005
11998,Conal,Juneja,d005
12004,Lucien,Schlenzig,d005
12006,Remco,Erol,d005
12007,Marko,Dehkordi,d005
12276,Yongmin,Lenart,d005
12149,Suebskul,Grandbois,d007
12279,Renee,Brookman,d005
12159,Shem,Perly,d005
12163,Khun,Sewelson,d005
12280,Lidong,Eiter,d005
12164,Muneo,Chachaty,d005
12165,Xiaobin,Maquelin,d005
12281,Hisao,Langford,d005
12174,Slavian,Plavsic,d005
12176,Christoper,Holburn,d005
12177,Shahar,Pardalos,d005
12282,Tadahiro,Delgrange,d005
12179,Arto,Koshino,d005
12180,Heejo,Ruemmler,d005
12287,Kerhong,Hagimont,d005
12298,Tetsurou,Rodham,d005
12190,Abdulah,Engberts,d005
12194,Florian,Braunschweig,d005
12195,Gay,Taneja,d005
12198,Shai,Huxford,d005
12299,Billie,Kushner,d005
12205,Sushant,Rossi,d005
12206,Barton,Janetzko,d005
12307,Sarita,Schlumberger,d005
12208,Bartek,Passino,d005
12215,Billie,Ecklund,d005
12221,Vincent,Melter,d005
12310,Chandrasekaran,Pettit,d005
12226,Kankanahalli,Joslin,d005
12228,Sreenivas,Melter,d005
12230,Yuriy,Bellone,d005
12311,Susanne,Lubachevsky,d005
12320,Nobuyoshi,Swick,d005
12233,Constantijn,Gruenwald,d005
12236,Ebbe,Thambidurai,d005
12238,Gianluca,Back,d005
12242,Satoru,Wolniewicz,d005
12243,Lihong,Leivant,d005
12244,Annemarie,Harllee,d005
12247,Subbu,Penttonen,d005
12249,Eldridge,Sadowski,d005
12322,Mohammed,Kambil,d005
12324,Fun,Delgrange,d005
12250,Kerhong,Aloia,d005
12258,Kankanahalli,Eiter,d005
12327,DAIDA,Bruckman,d005
12260,Mokhtar,Huttel,d005
12333,Gino,Peck,d005
12264,Mart,Pagter,d005
12265,Geoffry,Noriega,d005
12266,Kirk,Azuma,d005
12274,Garnik,Papadias,d005
12334,Mary,Ertl,d005
12337,Leaf,Murtha,d005
12340,Xinglin,Vigier,d005
12410,Masanao,Besselaar,d005
12411,Shao,Ibel,d007
12341,Rasiah,Luga,d005
12344,Hauke,Hennings,d005
12351,Gennady,Zizka,d005
12421,Toshimi,Gulik,d005
12424,Bernt,Bazelow,d005
12352,Mizuhito,Stavenow,d005
12353,Isaac,Gini,d005
12357,Gennady,Spinelli,d005
12429,Patricio,Varman,d005
12361,Elliott,Strandh,d005
12436,Dines,Usdin,d005
12437,Mohammed,Cronan,d005
12362,Valeri,Ressouche,d005
12440,Tesuro,Engberts,d005
12441,Nevin,Pews,d005
12442,Iara,Lanteri,d005
12369,Sanjoy,Giaccio,d005
12447,Bernice,Huxford,d005
12373,Mooi,Driscoll,d007
12450,Sanjeeva,Perng,d005
12451,Pramod,Marzano,d005
12379,Kazuhisa,Serna,d005
12454,Kerryn,Farris,d007
12455,Goncalo,Waeselynck,d005
12456,Bodh,Speel,d005
12384,Alagu,Oppitz,d005
12461,Tesuro,Silva,d005
12463,Magdalena,Lovengreen,d005
12464,Shai,Milicic,d007
12467,Zhiwei,Bennis,d005
12469,Basant,Khalil,d005
12472,Leah,Madeira,d005
12475,Filipe,Roison,d005
12476,Eckart,Debuse,d005
12479,Salvador,Chachaty,d005
12481,Ipke,Uludag,d005
12484,Armond,Barriga,d005
12386,Godehard,Litecky,d005
12488,Etsuo,Gerteisen,d005
12489,Arnould,Munck,d005
12490,Jackson,Muchinsky,d005
12493,Filipp,Menhardt,d005
12497,Stein,Penz,d007
12498,Radhakrishnan,Socorro,d005
12388,Arumugam,Hebert,d005
12503,Boguslaw,Matzen,d005
12507,Manton,Plump,d005
12399,Mihalis,Luga,d007
12512,Zissis,Remmele,d005
12514,Tomofumi,Melter,d005
12517,Chikako,Bisiani,d005
12518,Claude,Sanella,d005
12401,Yolla,Glinert,d005
12524,Tetsushi,Demeyer,d005
12405,Zhanqiu,Kambil,d005
12530,Turgut,Strandh,d005
12535,Kazuhiko,Bergere,d005
12406,Mack,Marchesini,d005
12538,Haldon,Parascandalo,d005
12541,Shih,Nanard,d007
12548,Chenxi,Baak,d005
12555,Spyrose,DuCasse,d005
12556,Akemi,Delgrande,d005
12563,Honesty,Ducloy,d005
12568,Marlo,Boyle,d005
12569,Thodoros,Lundstrom,d005
12572,Sungwon,McConalogue,d005
12574,Mong,Gelosh,d005
12408,Rasiah,Sudkamp,d005
12576,Fusako,Milicia,d005
12409,Ebru,Petereit,d005
12678,Carrsten,Borovoy,d005
12581,Jaihie,Kilgour,d005
12679,Kolar,Sommen,d005
12588,Yagil,Kenevan,d005
12589,Anoosh,Chleq,d005
12682,Isamu,Honiden,d005
12599,Jouni,Lenart,d005
12600,Lucian,Garrabrants,d005
12689,Luerbio,Boudaillier,d005
12601,Ghassan,Simkin,d005
12692,Sastry,Openshaw,d005
12607,Gil,Anguita,d005
12609,Zsolt,Sinitsyn,d005
12613,Niteen,Reeker,d005
12693,Patricia,Demke,d005
12615,Fumino,Oppitz,d005
12616,Adam,Cappelli,d005
12701,Stafford,Hennebert,d005
12632,Shaleah,Manderick,d005
12638,Yuqun,Seiwald,d005
12709,Ronghao,Botman,d005
12646,Shir,Valtorta,d005
12648,Sanjeeva,Speckmann,d005
12650,Odoardo,Demke,d005
12651,Pragnesh,Bael,d007
12652,Michaela,Hebden,d005
12654,Zhaofang,Tagansky,d005
12710,Nevin,Breugel,d005
12713,Byong,Demir,d005
12719,Tomokazu,Riexinger,d005
12661,Berry,Lung,d005
12726,Fumitake,Panwar,d005
12662,Leucio,Alvarado,d005
12663,Nobuyoshi,Stellhorn,d005
12727,Uwe,Ranai,d005
12728,Horward,Stiles,d005
12730,Barry,Perl,d005
12732,Mara,Takanami,d007
12733,George,Lyonns,d005
12734,Gil,Frijda,d005
12736,Prasadram,Tempesti,d005
12743,Sachem,Sudbeck,d005
12744,Woody,Escriba,d005
12750,Yifei,Borstler,d005
12812,Waiman,Alameldin,d005
12813,Mack,Schmittgen,d005
12817,Bokyung,Rosti,d005
12752,Peer,Hitomi,d005
12762,Jaroslava,Koblitz,d005
12821,Arco,Gihr,d005
12823,Pranav,Lanteri,d005
12830,Hsiangchu,Oxenboll,d005
12833,Jaideep,Tibblin,d005
12839,Zeydy,Koshino,d005
12840,Zhensheng,Ferretti,d005
12764,Valeri,Menhoudj,d005
12842,Steen,Stellhorn,d005
12765,Yishay,Esteva,d005
12843,Yinlin,Heijenga,d005
12768,Mingdong,Stiles,d005
12773,Jenwei,Lovengreen,d005
12848,Kazuhide,Smeets,d005
12849,Yongdong,Suessmith,d005
12774,Moon,Asrin,d005
12783,Mahendra,Ginneken,d005
12856,Shridhar,Syang,d005
12857,Alagu,Gils,d005
12867,Chiranjit,Lorys,d005
12784,Subhada,Murrill,d005
12872,Marl,Schmittgen,d007
12788,Kristina,Olano,d005
12876,Apostol,Goodrum,d005
12877,Fay,Aseltine,d005
12789,Sanjai,Felcyn,d005
12790,Gunilla,Perl,d007
12879,Baruch,Eugenio,d005
12794,Kristina,Thimonier,d005
12884,Paddy,Zyda,d005
12885,Anwar,Collavizza,d005
12797,Takushi,Turnbull,d005
